blog.rom1v.com;Binary file (standard input) matches;Binary file (standard input) matches;
www.1ko.ch;GSE;;
4lw.fr;Apache/2.2.X (OVH);PHP/5.2.17;
blog.admin-linux.org;Apache;W3 Total Cache/0.9.2.4;1.1 varnish
www.michtoblog.com;Apache;;
blog.aldevar.fr;;;
www.kywyxy.net;Apache;PHP/5.3.8;
www.nolifeclub.org;;;
lib64;;;
www.blogvirtualisation.com;Apache/2.2.X (OVH);PHP/5.2.17;
inaps.org;gunicorn/0.10.0;;
antonin.moulart.org;Apache;PHP/5.2.17;
www.laspic.eu;Apache;PHP/5.3.3-7+squeeze13;
arnumeral.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
artisan.karma-lab.net;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
blog.asher256.com;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
www.aternatik.org;Apache;;
aurelien.bompard.org;Apache/2.2.22 (Debian);PHP/5.4.4-2;
www.lenetdanslesnuages.com;Apache/2.2.X (OVH);PHP/5.2.17;
www.bastnic.info;Apache;;
www.antoinebenkemoun.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
cdrom;;;
binbash.fr;Apache;;
blogmotion.fr;Apache;PHP/5.2.17;
blog.wolf.am;Lighttpd On Frugalware;;
dors.frugalware.org;Apache/2.2.22 (Fedora);Mono;
mementolinux.wordpress.com;nginx;;
brice.capelle.me;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.2;
cquad.dyndns.org;Apache/2.2.15 (CentOS);PHP/5.3.3;
www.glx-dock.org;Apache;PHP/5.3.3-7+squeeze13;
capof-space.org;Apache;PHP/5.3.3-7+squeeze13;
www.rt74.eu;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
carlchenet.wordpress.com;nginx;;
www.cedynamix.fr;Apache;PHP/5.2.17;
linuxevolution.wordpress.com;nginx;;
www.dom-web.net;Apache;PHP/5.2.17;
chm.duquesne.free.fr;AmazonS3;;
cksum.org;;;
coudot.blogs.linagora.com;Apache/2.2.9 (Debian) mod_jk/1.2.26 PHP/5.2.6-1+lenny16 with Suhosin-Patch proxy_html/3.0.0 mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g mod_perl/2.0.4 Perl/v5.10.0;PHP/5.2.6-1+lenny16;
clement-ravary.fr;;;
www.clapico.com;Apache/2.2.X (OVH);PHP/5.4.4;
gerard.geekandfree.org;nginx/1.0.11;;
www.stealthisblog.fr;Apache;PHP/5.3.3-7+squeeze13;
costalfy.servhome.org;Apache;PHP/5.3.14-1~dotdeb.0;
langagelinotte.free.fr;Apache/ProXad [Apr 20 2012 15:06:05];;
ludovic.rivallain.fr;nginx;;
www.crowd42.info;Apache;PHP/5.3.3-7+squeeze13;
www.cyrille-borne.com;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
www.dadall.info;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
nicotux.wordpress.com;nginx;;
www.ludoka.net;nginx/0.7.67;PHP/5.3.3-7+squeeze13;
dariablogue.wordpress.com;nginx;;
www.dupnet.org;Cherokee;;
www.biologeek.com;Apache/2.2;;
www.davromaniak.eu;nginx;PHP/5.4.4-2;
www.daviddallet.com;Apache/2.2;PHP/5.3.3-7+squeeze13;
wikilivres.wordpress.com;nginx;;
www.k1ka.be;Apache/2.2.X (OVH);;
colibri-libre.org;Apache;PHP/5.2.17;
www.digitalspirit.org;Apache;;
www.think-underground.com;Apache/2.2.X (OVH);PHP/5.2.17;
www.djul.info;GSE;;
eddy33.eddy33.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];PHP/5.1.3RC4-dev;
www.inouire.net;Apache;;
blog.effraie.org;Apache;PHP/5.3.3-7+squeeze13;
blog.bmaron.net;Apache;;
www.my1.fr;Apache;;
emilpoe.wordpress.com;nginx;;
gontcho.wordpress.com;nginx;;
meta.libera.cc;GSE;;
www.enfluxlibre.org;Apache;PHP/5.2.17;
www.xieme-art.org;Apache;PHP/5.2.6-1+lenny16;
www.equinoxefr.org;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.2;
www.sum-up.fr;;;
blog.etenil.net;nginx/1.1.19;PHP/5.3.10-1~dotdeb.1;
blog.archambeau.info;Apache;PHP/5.2.17;
facil.qc.ca;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
feilongwork.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
fgallaire.flext.net;nginx;;
finss.free.fr;Apache/ProXad [Apr 20 2012 15:06:05];PHP/5.1.3RC4-dev;
www.fitzdsl.net;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
florentgiordano.wordpress.com;nginx;;
floruby.wordpress.com;nginx;;
fonctionerd.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
tar-jx.bz;Apache/2.2.22 (FreeBSD) mod_ssl/2.2.22 OpenSSL/0.9.8q DAV/2 SVN/1.7.5 mod_perl/2.0.7 Perl/v5.14.2;;
www.framablog.org;Apache/2.2.16 (Unix) mod_ssl/2.2.16 OpenSSL/0.9.8o;PHP/5.2.13-pl0-gentoo;
sciunto.wordpress.com;nginx;;
chezarchange.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];;
fredgnix.wordpress.com;nginx;;
freeculture.homelinux.com;;;
rfournier.homelinux.org;Apache/2.2.16 (Debian);;
elveos.org;;;
fullcirclemag.fr;Apache/2.2.X (OVH);;
blog.noremember.org;Apache/2.2.16 (Debian) PHP/5.3.3-7+squeeze3 with Suhosin-Patch proxy_html/3.0.0 mod_scgi/1.12 mod_ssl/2.2.16 OpenSSL/0.9.8o Phusion_Passenger/2.2.2;PHP/5.3.3-7+squeeze3;
www.generation-linux.fr;Apache;PHP/5.3.3-7+squeeze3;
www.g3l.org;Apache/2.2.X (OVH);PHP/5.2.17;
geekdefrance.fr;Apache;PHP/5.2.17;
geekfault.org;Apache;PHP/5.2.13-pl0-gentoo;
gege2061.homecomputing.fr;nginx/1.2.2;PHP/5.3.14-1~dotdeb.0;
gilir.wordpress.com;nginx;;
www.greguti.com;Apache/2.2.X (OVH);;
gcolpart.evolix.net;Apache;;
www.llaumgui.com;Apache;PHP/5.3.14;
blog.guiona.com;Apache/2.2.X (OVH);PHP/5.2.17;
hackurx.wordpress.com;nginx;;
hobbestigrou.interface-c.com;Perl Dancer 1.3091;Perl Dancer 1.3091;
blog.hugoroy.eu;Apache/2.2.X (OVH);PHP/5.2.17;
blog.hyla-project.org;Apache;;
johotogoshinentai.wordpress.com;nginx;;
inalgnu.nomade-dz.com;;;
influence-pc.1s.fr;Apache/2.2.16 (Debian) mod_fcgid/2.3.6 mod_ssl/2.2.16 OpenSSL/0.9.8o;PHP/5.4.4-2~dotdeb.0;
influence-pc.fr;Apache/2.2.16 (Debian) mod_fcgid/2.3.6 mod_ssl/2.2.16 OpenSSL/0.9.8o;PHP/5.4.4-2~dotdeb.0;
blog.v-jeremy.net;Apache/2.2.X (OVH);;
mandriva.education.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];PHP/5.1.3RC4-dev;
bozoko.com;;;
jeromeg.blog.free.fr;lighttpd/1.4.26;PHP/5.2.13;
blog.jesuislibre.org;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
www.jeyg.info;Apache;W3 Total Cache/0.9.2.4;
kubuntu.free.fr;Apache/ProXad [Apr 20 2012 15:06:05];PHP/4.4.3-dev;
ernstfamily.ch;Apache;;
blog.itnservice.net;Apache/2.2.11 (Debian) PHP/5.2.6-1+lenny9 with Suhosin-Patch proxy_html/3.0.0 mod_ssl/2.2.11 OpenSSL/0.9.8o;PHP/5.2.6-1+lenny9;1.1 varnish
www.jopa.fr;Apache/2.2.16 (Debian);;
blog.cheztoi.net;Apache;PHP/5.3.2-1ubuntu4.17;
jukilomp.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];;
www.technoaddict.fr;Apache;PHP/5.3.3-7+squeeze13;
julius.sambrelug.be;Apache/2.2.11 (Debian) PHP/5.2.6-1+lenny9 with Suhosin-Patch proxy_html/3.0.0 mod_ssl/2.2.11 OpenSSL/0.9.8o;PHP/5.2.6-1+lenny9;1.1 varnish
www.k-tux.com;Apache/2.2.16 (Debian);;
blog.sietch-tabr.com;nginx;PHP/5.3.3-7+squeeze13;
kamagatos.blogspot.com;GSE;;
jeff.ecchi.ca;Apache;;
www.betaphile.net;Apache/2.2.22;;
www.labo-linux.org;Apache/2.2.14 (Ubuntu);PHP/5.3.2-1ubuntu4.17;
leducdubleuet.biz;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
blog.e-node.org;;;
liberez-le-tux.servhome.org;Apache;PHP/5.3.14-1~dotdeb.0;
rtfm.libfy.com;Apache;PHP/5.3.3-7+squeeze7;
www.libre-astux.info;Apache/2.2.15 (Debian) mod_ssl/2.2.15 OpenSSL/0.9.8g;;
contrib.linalis.com;Apache;;
armaklan.org;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
blog.touret.info;Apache;;
www.lolokai.com;Apache;W3 Total Cache/0.9.2.4;
lordphoenix.tuxfamily.org;Apache;PHP/5.3.3-7+squeeze13;
louisroche.net;Apache/2.2.9 (Debian) mod_fastcgi/2.4.6 mod_python/3.3.1 Python/2.5.2 mod_ssl/2.2.9 OpenSSL/0.9.8g mod_vhost_hash_alias/1.0 mod_wsgi/2.5;;
low.je;;;
dblogpas.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
macsim.labolinux.net;Apache/2.2.16 (Debian);W3 Total Cache/0.9.2.3;
blog.le-guevel.com;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
www.malangot.fr;Apache/2.2.16 (Debian);;
astuces.absolacom.com;Apache/2.2.20 (Ubuntu);PHP/5.3.6-13ubuntu3.8;
www.libre-experience.org;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
mart-e.be;Apache/2.2.16 (Debian) mod_fcgid/2.3.6 mod_ssl/2.2.16 OpenSSL/0.9.8o;PHP/5.4.4-2~dotdeb.0;
15minutesoffame.be;Apache/2.2.X (OVH);;
www.matao.fr;Apache/2.2.X (OVH);PHP/4.4.9;
mathieu.comandon.org;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.1;
blog.fedora-fr.org;Apache;PHP/5.3.14;
www.labsnux.net;Apache;PHP/5.2.17;
blog.fedora-fr.org;Apache;PHP/5.3.14;
www.loutre.ch;Apache/2.2;;
michauko.org;Apache/2.2.16 (Debian);;
www.mickael-allain.fr;;;
www.unblogsurlabanquise.org;nginx;;
monitoring-fr.org;nginx/1.1.19;W3 Total Cache/0.9.2.4;
www.morot.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
movim.eu;Apache;PHP/5.3.3-7+squeeze13;
www.mozillazine-fr.org;Apache;PHP/4.4.4;
www.mr-yann.org;Apache;;
blog.mrtomlinux.org;Apache/2.2.X (OVH);PHP/5.2.17;
nyco.wordpress.com;nginx;;
www.gabes.fr;Apache/2.2.X (OVH);;
www.blueicefield.com;nginx;;
blog.nicolargo.com;;;1.1 varnish
www.nicosphere.net;nginx/1.2.2;;
blog.nicosmos.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
nicoz.olympe-network.com;nginx;PHP/5.4.4-2;1.1 varnish
prendreuncafe.com;nginx;;
cdrom;;;
www.noplay.net;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze3;
www.novius-os.org;nginx/1.2.0;;
www.novius-labs.com;Apache;;
blog.olivierdelort.net;Apache;;1.1 olivierdelort.net
ofaurax.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
olpc-france.org;Apache;PHP/5.2.17;
gregoire.menuel.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];PHP/5.1.3RC4-dev;
case.oncle-tom.net;Apache/2.2;;
www.francoistessier.info;Apache/2.2.14 (Ubuntu);;
blog.opensyd.fr;;;
www.openwebtech.fr;;;
opossum1er.org;Apache/2.2.X (OVH);PHP/5.3.14;
oser.neotech3.org;;;
dleds.net;Apache/2.2;;
blog.oxyradio.net;nginx;PHP/5.3.3-7+squeeze13;
blog.pacodastre.org;Apache/2.2.22 (Unix) mod_ssl/2.2.22 OpenSSL/1.0.1c DAV/2 PHP/5.4.4 mod_wsgi/3.3 Python/2.7.3;PHP/5.4.4;
blog.fedora-fr.org;Apache;PHP/5.3.14;
www.chevrel.org;Apache/2.2.X (OVH);;
blog.paulk.fr;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
www.pc-kc.fr;Apache;PHP/5.2.17;
linux-attitude.fr;Apache/2.2.16;W3 Total Cache/0.9.2.4;
www.eauland.com;Apache;;
philippe.scoffoni.net;Apache;;
www.pianopenguin.net;Apache/2.2.X (OVH);PHP/5.2.17;
pingax.frugalware.fr;Apache;PHP/5.3.2-1ubuntu4.17;
blog.planet-libre.org; ;PHP/5.2.6-1+lenny13;
www.ploum.net;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
www.pointroot.org;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
www.mibhouse.org;Apache;PHP/5.3.2-1ubuntu4.17;
politiquedunetz.wordpress.com;;;
pouvoir-choisir.org;Apache/2.2.X (OVH);;
blog-marcel.eu;Apache;PHP/5.3.3-7+squeeze13;
blog.profnoel.com;Apache;PHP/5.2.17;
orthophonielibre.wordpress.com;nginx;;
www.radek411.org;Apache/2.2.16 (Debian) mod_fcgid/2.3.6 mod_ssl/2.2.16 OpenSSL/0.9.8o;PHP/5.4.4-2~dotdeb.0;
raphaelhertzog.fr;Binary file (standard input) matches;Binary file (standard input) matches;
ravomavain.servhome.org;Apache;;
totalement.geek.oupas.fr;;;
blog.fedora-fr.org;Apache;PHP/5.3.14;
www.respawner.fr;Apache;;
rym.waglo.com;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze8;
www.rollsrox.com;;;
blog.stackr.fr;Apache/2.2.X (OVH);;
phollow.fr;cloudflare-nginx;;1.1 varnish
saimon.org;Apache/2.2.X (OVH);;
blog.creaone.fr;Apache/2.2.X (OVH);PHP/5.2.17;
about-gnulinux.info;Apache;;
seitoworld.fr;Apache/2.2.X (OVH);PHP/5.2.17;
blog.silvyn.net;Apache/2.2;;
walkyr.fr;Apache/2.2.16 (Debian);;
www.pastanque.be;Apache/2;;
xcase.wordpress.com;nginx;;
standartux.fr;Apache;PHP/5.2.17;
lalinuxerie.free.fr;;;
blog.gnusquad.org;Apache/2.2.3 (Red Hat);PHP/5.3.14;
www.system-linux.eu;Apache/2.2.15 (CentOS);PHP/5.2.17;
www.taltan.fr;Apache;PHP/5.2.17;
tanguy.ortolo.eu;Apache/2.2.16 (Debian);;
www.tb-planet.fr;;;
opensource.jegalere.fr;Apache/2.2.9 (Debian) DAV/2 PHP/5.2.6-1+lenny13 with Suhosin-Patch;PHP/5.2.6-1+lenny13;
theclimber.fritalk.com;Apache/2.2.16 (Ubuntu);PHP/5.3.3-1ubuntu9.10;
blog.theglu.org;Apache;;
blog.thelinuxfr.org;;;
www.befox.be;Apache;;
linuxeries.blogspot.com;GSE;;
tb4.fr;;;
blog.bores.fr;Apache/2.2.X (OVH);PHP/5.2.17;
www.halpanet.org;lighttpd/1.4.31;PHP/5.3.14;
pwet.fr;Apache/2.2.16 (Debian);eZ Publish;
blog.titax.fr;Apache;;
toitoinebzh.blog.free.fr;lighttpd/1.4.26;PHP/5.2.13;
www.trouvetongull.info;Apache/2.2.3 (Red Hat);PHP/5.3.14;
tuxicoman.jesuislibre.net;Binary file (standard input) matches;Binary file (standard input) matches;
u-classroom.net;Apache/2.2.3 (Red Hat);PHP/5.3.14;
ubuntulesjours.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
blog.uggy.org;Apache;;
www.shadoware.org;Apache/2.2.16 (Debian);PHP/5.3.3-7+squeeze13;
valentin.villenave.info;Apache/2.2.21 (Fedora);PHP/5.3.9;
www.velcs.info;Apache;PHP/5.3.3-7+squeeze13;
www.tuxlanding.net;Apache;PHP/5.3.3-7+squeeze13;
www.vinilox.eu;Apache/2.2.22 (Unix) mod_ssl/2.2.22 OpenSSL/1.0.1c DAV/2 PHP/5.4.4 mod_wsgi/3.3 Python/2.7.3 mod_fcgid/2.3.6;PHP/5.4.4;
nwarrenfl.open-web.fr;nginx;PHP/5.3.14-1~dotdeb.0;
wattazoum.fr;Apache/2.2.X (OVH);PHP/5.2.17;
wavemaker.free.fr;Apache/ProXad [Aug  5 2010 16:17:11];PHP/5.1.3RC4-dev;
www.webaaz.com;Apache/2.2.14 (Ubuntu);PHP/5.3.2-1ubuntu4.9;
ubunblox.servhome.org;Apache;PHP/5.3.14-1~dotdeb.0;
maniatux.fr;Apache;PHP/5.2.17;
lesaventuresdeyannigdanslemondeit.blogspot.com;GSE;;
yeknan.free.fr;Apache/ProXad [Aug  9 2008 02:45:09];;
www.blogjaune.fr;Apache/2.2.16 (Debian);Phusion Passenger (mod_rails/mod_rack) 2.2.11;1.0 Fulla (squid)
www.gesnel.fr;Apache/2.2.X (OVH);PHP/5.2.17;
www.daemontux.org;Apache/2.2.16;PHP/5.3.3-7+squeeze13;
blog.zeneffy.fr;Apache/2.2.X (OVH);PHP/5.2.17;
www.marsaud.org;Apache/2.2.22 (Ubuntu);PHP/5.3.10-1ubuntu3.2;
myblogbyzippy.blogspot.com;GSE;;
zitrouille.wordpress.com;nginx;;
